iter	Passed	Remaining
0	316	316093
1	513	256197
2	676	224737
3	870	216738
4	974	193899
5	1090	180592
6	1432	203205
7	1477	183211
8	1620	178428
9	1818	180017
10	1880	169067
11	2014	165825
12	2085	158336
13	2219	156339
14	2250	147795
15	2348	144420
16	2451	141758
17	2512	137095
18	2546	131496
19	2588	126857
20	2693	125588
21	2730	121375
22	2744	116582323	2800	1138824	3558	138797
2525	3047	114172626	3326	119877
27	3482	120905
28	3542	118615
29	3619	117033
30	3713	116075
31	3789	114630
32	3959	116036
33	4156	118100
34	4377	120701
35	4533	121400
36	4580	119206
37	4773	120837
38	4986	122871
39	5233	125599
40	5315	124319
41	5666	129261
42	5780	128659
43	5914	128496
44	6090	129250
45	6171	127994
46	6277	127288
47	6493	128788
48	6597	128047
49	6685	127023
50	6870	127852
51	6996	127545
52	7179	128276
53	7261	127204
54	7295	125352
55	7399	124733
56	7443	123139
57	7535	122386
58	7613	121436
59	7876	123404
60	7910	121771
61	7936	120075
62	8065	119960
63	8201	119949
64	8456	121636
65	8657	122519
66	9060	126169
67	9314	127656
68	9492	128076
69	9583	127330
70	9648	126244
71	9692	124930
72	9717	123404
73	977	10214	1274	9878	10353	120701
79	10634	122292
80	10818	122740
81	11032	78	107082	11187	79	108883	11398	124301
84	11462	123387
85	11595	123230
86	11648	83	113887	11866	84	114888	12150	124375
89	12354	124921
90	12430	124172
91	12654	124896
92	12789	124736
93	12877	124119
94	12921	123093
95	13106	123421
96	13204	122925
97	13270	122147
98	13377	121753
99	13447	121024
100	13614	121179
101	13872	122131
102	14082	122638
103	14157	121972
104	14172	120803
105	14226	119986
106	14351	119774
107	14473	119542
108	14618	119494
109	14705	118979
110	14796	118502
111	14898	118120
112	15048	118124
113	15130	117590
114	15338	118040
115	15511	118208
116	15555	117400
117	15718	117490
118	15873	117517
119	15995	117297
120	16246	118024
121	16302	117322
122	16388	116854
123	16579	117126
124	16683	116784
125	16800	116538
126	16829	115683
127	16888	115054
128	16921	114255
129	16126	16616	114218
127	16737	114023
128	16821	1132	17391	113369
133	17436	112689
134	17600	112773
135	17772	112908
136	17801	112135
137	17888	111736
138	17996	111473
139	18202	111814
140	18294	111451
141	18316	110675
142	18418	110381
143	18444	109644
144	18543	109342
145	18576	108658
146	18742	108755
147	18837	108441
148	18954	108254
149	19063	108023
150	19107	107430
151	19234	107307
152	19472	107799
153	19556	107434
154	19732	107575
155	19958	107981
156	19981	107289
157	20054	106872
158	20296	107355
159	20437	107295
160	20598	107342
161	20738	107276
162	20813	106875
163	20893	106506
164	20965	106095
165	21028	105648
166	21126	105377
167	21224	105110
168	21313	104800
169	21466	104806
170	21712	105261
171	21738	104647
172	21798	104204
173	21921	104066
174	22039	103899
175	22140	103659
176	22156	103023
177	22188	102464
178	22208	101861
179	22277	101487
180	22299	100901
181	22322	100327
182	22414	100069
183	22444	99536
184	22473	99002
185	22520	98559
186	22597	98243
187	22715	98110
188	22733	97549
189	22798	97192
190	22869	96864
191	22996	96777
192	23169	96878
193	23276	96704
194	23444	96784
195	23544	96579
196	23631	96324
197	23741	96165
198	23811	95842
199	23889	95559
200	24030	95522
201	24053	95021
202	24140	94777
203	24167	94298
204	24322	94323
205	24545	94607
206	24730	94741
207	24868	94690
208	24903	94251
209	25055	94256
210	25267	94483
211	25422	94494
212	25768	95210
213	25924	95216
214	25949	94746
215	26119	94802
216	26141	94325
217	26484	95003
218	26642	95013
219	26775	94932
220	26960	95032
221	27122	95051
222	27251	94952
223	27452	95103
224	27555	94914
225	27582	94463
226	27656	94179
227	27681	93728
228	27803	93609
229	27947	93562
230	27998	93205
231	28169	93250
232	28285	93112
233	28537	93416
234	28557	92965
235	28613	92630
236	28728	92490
237	28838	92330
238	28923	92095
239	29036	91947
240	29074	91567
241	29137	91265
242	29327	91363
243	29382	91038
244	29432	90700
245	29466	90317
246	29495	89918
247	29571	89669
248	29685	89533
249	29788	89364
250	29810	88955
251	29930	88840
252	29975	88505
253	30126	88481
254	30241	88353
255	30408	88373
256	30477	88112
257	30571	87922
258	30595	87532
259	30623	87159
260	30719	86979
261	30900	87039
262	31022	86934
263	31059	86590
264	31088	86227
265	31163	85991
266	31272	85854
267	31366	85672
268	31478	85542
269	31583	85391
270	31618	85056
271	31710	84872
272	31726	84487
273	31763	84160
274	31804	83849
275	31868	83596
276	31973	83454
277	32054	83249
278	32099	82952
279	32222	82858
280	32349	82772
281	32438	82591
282	32579	82542
283	32712	82473
284	32760	82189
285	32794	81871
286	32856	81625
287	33006	81598
288	33102	81438
289	33391	81752
290	33659	82009
291	33793	81937
292	33819	81604
293	33868	81330
294	34060	81399
295	34224	81399
296	34354	81317
297	34520	81321
298	34596	81110
299	34722	81019
300	34894	81034
301	35019	80938
302	35122	80793
303	35203	80598
304	35221	80259
305	35240	79925
306	35270	79617
307	35348	79418
308	35426	79222
309	35560	79149
310	35580	78826
311	35639	78589
312	35890	78774
313	35919	78474
314	35979	78241
315	36014	77955
316	36033	77636
317	36096	77415
318	36211	77304
319	36316	77171
320	36521	77251
321	36633	77134
322	36821	77176
323	36900	76989
324	37000	76847
325	37154	76816
326	37311	76790
327	37393	76610
328	37620	76727
329	37870	76888
330	37951	76706
331	37989	76437
332	38022	76159
333	38050	75873
334	38108	75648
335	38311	75711
336	38351	75450
337	38673	75745
338	38703	75465
339	38840	75395
340	39019	75407
341	39056	75144
342	39072	74841
343	39101	74565
344	39116	74265
345	39141	73984
346	39179	73730
347	39194	73433
348	39288	73285
349	39631	73601
350	39698	73403
351	39726	73132
352	39783	72917
353	39831	72686
354	40004	72684
355	40146	72624
356	40187	72383
357	40336	72335
358	40404	72142
359	40423	71864
360	40567	71807
361	40678	71692
362	40795	71588
363	40874	71418
364	40958	71256
365	41020	71057
366	41103	70894
367	41177	70718
368	41214	70478
369	41314	70347
370	41419	70224
371	41498	70056
372	41618	69959
373	41705	69806
374	41774	69624
375	41849	69452
376	41889	69222
377	41923	68986
378	42013	68839
379	42184	68827
380	42336	68782
381	42637	68979
382	42876	69072
383	42992	68966
384	43104	68854
385	43192	68705
386	43279	68553
387	43381	68425
388	43630	68530
389	43713	68371
390	43746	68137
391	43843	68001
392	44016	67984
393	44129	67873
394	44246	67769
395	44304	67575
396	44365	67386
397	44415	67181
398	44480	66999
399	44578	66867
400	44664	66717
401	44735	66547
402	44761	66309
403	44911	66255
404	45095	66250
405	45186	66110
406	45370	66105
407	45448	65945
408	45486	65727
409	45565	65570
410	45667	65445
411	45892	65496
412	45905	65246
413	45933	65016
414	45952	64776
415	45974	64541
416	46123	64484
417	46194	64318
418	46308	64212
419	46329	63979
420	46498	63949
421	46632	63870
422	46886	63955
423	46954	63786
424	47152	63795
425	47213	63615
426	47325	63507
427	47425	63382
428	47572	63319
429	47602	63100
430	47778	63076
431	47939	63031
432	47962	62805
433	47976	62568
434	48021	62372
435	48069	62181
436	48183	62076
437	48251	61911
438	48362	61802
439	48379	61574
440	48495	61471
441	48607	61364
442	48719	61256
443	48855	61179
444	48964	61067
445	49094	60982
446	49195	60862
447	49265	60702
448	49479	60720
449	49575	60592
450	49603	60382
451	49812	60391
452	49890	60243
453	49936	60055
454	50058	59960
455	50226	59919
456	50381	59862
457	50528	59795
458	50637	59683
459	50786	59619
460	50965	59589
461	51094	59499
462	51234	59422
463	51337	59303
464	51454	59200
465	51601	59131
466	51711	59019
467	51775	58855
468	51870	58727
469	51883	58506
470	52026	58433
471	52078	58257
472	52093	58040
473	52308	58047
474	52477	58001
475	52605	57910
476	52820	57914
477	52894	57763
478	53029	57678
479	53063	57485
480	53176	57377
481	53252	57230
482	53264	57014
483	53408	56940
484	53565	56879
485	53617	56706
486	53658	56522
487	53696	56337
488	53753	56171
489	53831	56028
490	53968	55947
491	54099	55858
492	54224	55764
493	54321	55640
494	54387	55486
495	54397	55275
496	54430	55087
497	54483	54921
498	54568	54786
499	54651	54651
500	54681	54463
501	54776	54340
502	54817	54163
503	54927	54055
504	54943	53855
505	54990	53686
506	55000	53481
507	55070	53336
508	55100	53152
509	55173	53009
510	55252	52874
511	55316	52723
512	55461	52650
513	55631	52600
514	55712	52466
515	55788	52328
516	55886	52210
517	55903	52018
518	55944	51848
519	56019	51710
520	56093	51571
521	56226	51487
522	56359	51402
523	56433	51263
524	56526	51143
525	56557	50966
526	56584	50786
527	56596	50593
528	56610	50403
529	56627	50216
530	56658	50043
531	56740	49914
532	56752	49724
533	56777	49547
534	56873	49432
535	57007	49350
536	57039	49179
537	57127	49057
538	57335	49038
539	57727	49175
540	57804	49042
541	57892	48920
542	58026	48836
543	58154	48747
544	58193	48583
545	58369	48534
546	58456	48410
547	58490	48244
548	58705	48226
549	58788	48099
550	59089	48151
551	59164	48017
552	59221	47870
553	59451	47861
554	59622	47805
555	59689	47666
556	59776	47542
557	59804	47371
558	59844	47211
559	59991	47135
560	60300	47187
561	60377	47055
562	60409	46889
563	60479	46753
564	60523	46598
565	60552	46430
566	60594	46274
567	60617	46103
568	60769	46031
569	60801	45867
570	60818	45693
571	60843	45526
572	60916	45395
573	61029	45293
574	61056	45128
575	61215	45061
576	61279	44924
577	61304	44758
578	61366	44620
579	61393	44457
580	61454	44319
581	61539	44198
582	61693	44127
583	61797	44020
584	61924	43929
585	62010	43809
586	62119	43705
587	62306	43657
588	62462	43585
589	62590	43495
590	62658	43362
591	62742	43241
592	62951	43206
593	63080	43115
594	63136	42975
595	63247	42872
596	63346	42761
597	63503	42689
598	63629	42596
599	63655	42436
600	63672	42605	64348	41837
606	64496	41757
607	64669	41695
608	64783	41593
609	64884	41483
610	65052	41416
611	65152	41305
612	65227	41179
613	65327	41069
614	65473	40987
615	65621	40906
616	65651	40752
617	65666	40589
618	65787	40492
619	65868	40371
620	65936	40241
621	66001	40110
622	66064	39978
623	66120	39841
624	66237	39742
625	66335	39632
626	66492	39556
627	66561	39428
628	66936	39480
629	67081	39397
630	67206	39301
631	67343	39212
632	67453	39107
633	67575	39010
634	67650	38885
635	67785	38795
636	67870	38676
637	67938	38548
638	68113	38480
639	68347	38445
640	68555	38395
641	68652	38282
642	68810	38204
643	68845	38057
644	68940	37944
645	69067	37848
646	69183	37745
647	69294	37641
648	69317	37489
649	69478	37411
650	69636	37332
651	69675	37188
652	69722	37049
653	69788	36921
654	69921	36828
655	70014	36714
656	70133	36614
657	70218	36496
658	70319	36386
659	70360	3624662	70225	35695
663	70313	35580
664	70332	35430
665	70364	35287
666	70453	35173
66665	70903	355566666	71122	35508
667	71232	35402
668	71375	35314
669	71496	35214
670	71563	35088
671	71665	34979
672	71784	34878
673	72021	34835
674	72251	34787
675	72438	34719
676	72662	34667
677	72852	34599
678	72920	34473
679	73042	34372
680	73123	34253
681	73141	34104
682	73189	33969
683	73233	33833
684	73290	33703
685	73360	33579
686	73373	33429
687	73415	33293
688	73440	33149
689	73633	33081
690	73730	32970
691	73901	32892
692	73917	32745
693	74126	32684
694	74229	32575
695	74308	32456
696	74467	32372
697	74625	32287
698	74796	32208
699	74944	32119
700	75148	32053
701	75265	31950
702	75464	31881
703	75537	31760
704	75676	31666
705	75716	31530
706	75738	31387
707	75823	31272
708	75849	31131
709	75883	30994
710	75895	30849
711	75920	30709
712	76005	30594
713	76068	30470
714	76101	30333
715	76132	30197
716	76155	30058
717	76233	29941
718	76339	29834
719	76386	29706
720	76415	29570
721	76496	29454
722	76549	29327
723	76629	29212
724	76685	29087
725	76709	2895728	76722	762973729	76488	2829733	77209	27980
734	77417	27912
735	77456	27783
736	77495	27654
737	77646	27565
738	77703	27443
739	77822	27343
740	735	77685	27865
736	77753	27742	737	733	7728743	78124	26881
744	78362	26821
745	78600	26762
746	78720	26661
747	78894	26579
748	78971	26464
749	79162	26387
750	79224	26267
751	79376	26177
752	79470	26068
753	79638	25982
754	79669	25852
755	79736	25735
756	79797	25615
757	79877	25501
758	80002	25402
759	80175	25318
760	80252	25203
761	80344	25094
762	80426	24981
763	80447	24850
764	80499	24728
765	80599	24621
766	80804	24546
767	80870	24429
768	80990	24328
769	81004	24196
770	81037	24069
771	8106762	80358	24960
763	80465	24855
764	80651	24775
765	80878	24707
766	80967	24596
767	81067	24489
768	81104	24363
769	81166	24244
770	81366	24167
771	81424	24047
772	81450	23918
773	81475	23789
774	81505	23663
775	81574	23547
776783	82397	22701
784	82504	22596
785	82709	22518
786	82850	22423
787	82943	22314
788	82983	22192
789	83151	22103
790	83322	22015
791	83471	21921
792	83648	21835
793	83836	21751
794	84054	21674
795	84267	21596
796	84296	21470
797	84349	21351
798	84366	21223
799	84385	21096
800	84401	20968
801	84633	20894
802	84750	20791
803	84939	20706
804	84963	20581
805	85250	20519
806	85368	20416
807	85469	20309
808	85553	20198
809	85569	20071
810	85597	19948
811	85747	19852
812	85915	19761
813	86028	19657
814	86140	19553
815	86598	19527
816	86653	19409
817	86719	19294
818	86730	19167
819	86742	19041
820	86752	18914
821	86764	18788
822	86812	18670
823	86830	18546
824	86886	18430
825	869825	86297826	869826	86360827	87137	18101
828	87304	18008
829	87412	17903
830	87605	17816
831	87713	17711
832	87873	17616
833	88007	17517
834	88106	17410
835	88140	17290
836	88312	17198
837	88526	17113
838	88677	17016
839	88721	16899
840	88830	16794
841	88966	16694
842	89104	16594
843	89160	16479
844	89356	16390
845	89518	16295
846	89678	16199
847	89698	16078
848	89828	15976
849	90014	15884
850	90109	15777
851	90249	15677
852	90321	15565
853	90441	15461
854	90608	15366
855	90743	15265
856	90949	15175
857	91147	15085
858	91250	14978
859	91323	14866
860	91439	14762
861	91489	14646
862	91560	14535
863	91608	14419
864	91703	14312
865	91886	14217
866	92068	14123
867	92224	14024
868	92295	13913
869	92352	13799
870	92445	13691
871	92551	13585
872	92645	13477
873	92742	13370
874	92832	13261
875	92997	13164
876	93028	13047
877	93102	12936
878	93322	12846
879	93369	12732
880	93384	12613
881	93395	12495
882	93577	12399
883	93600	12282
884	93768	12184
885	93850	12075
886	93930	11966
887	94038	11860
888	94195	11761
889	94245	11648
890	94266	11532
891	94373	11426
892	94385	11309
893	94410	11194
894	94433	110888895	94482	109889896	94640	10867
897	94790	10766
898	94853	106892899	94924	105893900	95008	10439
901	95097	103895902	95180	10224
903	95236	10113
904	95331	10007
905	95469	9905
906	95555	9797
907	95671	9693
908	95775	9588
909	95883	9482
910	95998	9378
911	96121	9274
912905	95328	98913906	95496	9791
907	95783	9704
908	95895	9600
909	95955	9490
910	96124	9390
911	96427	9304
912	96561	9201
913	96751	9103
914	96882	8999
915	96932	8889
916	96966	8776
917	97071	8670
918	97124	85692919	97252	8456
920	97452	8359
921	97483	8247
922	97564	8139
923	97703	8036
924	97728	7923
925	97802	7815
926	97832	7704
927	97860	7592
928	97886	7481
929	97921	7370
930	97954	72594931	98014	715942	98914	5978
943	98972	5871
944	99129	5769
945	99233	5664
946	99356	5560
947	99484	5456
948	99520	5348
949	99560	5240
950	99598	5131
951	99626	5023
952	99649	4914
953	99695	4807
95944	98942	5758
945	98985	5650
946	99007	5541
947	99059	54395948	99150	53295949	99193	52209950	99263	5114
951	99300	5006
952	99347	4899
953	99388	4792
954	99438	4685
955	99479	4578
956	99592	4474
957	99967	10047958	99777	4265
959	99790	4157
960	99866	4052
961	99910	3946
962	99978	3841
963	99997	3734
964	100064	3629
965	100117	3523
966	100190	3419
967	100224	3313
968	100347	3210
969	100413	3105
970	100432	2999
971	100533	2896
972	100566	2790
973	100596	2685
974	100623	2580
975	100634	2474
976	100650	2369
977	100689	2264
978	100723	2160
979	100755	2056
980	100788	1952
981	100809	1847
982	100826	1743
983	100857	1639
984	100883	1536
985	100893	1432
986	100904	1329
987	100915	1225
988	100931	1122
989	100942	1019
990	100960	916
991	100969	814
992	100985	711
993	100991	609
994	101001	507
995	101018	405
996	101027	303
997	101034	202
998	101040	101
999	101047	0
97	100947	202
998	100956	101
999	100970	0
